;id |Sukunimi       |Etunimi	|Kans.  |Kart.Sukun.|Kart.Etun.	|Kart.kans. |Auto       |Talli          |
1   |Cashforest     |Richard    |FI     |Sutku      |Ukko       |FI         |Volvo 240  |TK-Racing      |
2   |Norte          |Emilio     |ES     |Lund       |Lars       |SE         |Peugeot 205|Emetech        |
3   |Czarnewzgorze  |Leroi      |PL     |Kask       |Jonas      |EE         |Lada 2105  |KKRT           |
4   |Esimerkki      |Erkki      |FI     |Kartturi   |Kari       |FI         |Mercedes-Benz 190|Ruoste Racing  |
5   |Benn           |Philbert   |UK     |Forest     |Sven       |UK         |Opel Kadett|BL Racing      |
6   |Freud          |Bertie     |IR     |Lewis      |Miles      |UK         |MG Metro   |Earl Grey      |
7   |Kneib          |Arn        |GE     |Stauss     |Jonathon   |GE         |Audi S1    |JSF            |
8   |Ivanov         |Vasya      |RU     |Pavlovsky  |Fyodor     |RU         |Lada 2105  |CCCP-Racing    |
9   |Seppä          |Kalevi     |FI     |Ranta      |Pertti     |FI         |Volvo 240  |Kaljakoppa     |
10  |Seppä          |Erkki      |FI     |Korhonen   |Vilhelmi   |FI         |Toyota Corolla|KKRT           |
11  |Knuttson       |Liam       |SE     |Rosenberg  |Mats       |SE         |Volvo 142  |Swedish Metal  |
12  |Björnsson      |Pelle      |SE     |Herberttson|Göte       |SE         |Volvo Amazon|OSR            |
13  |Meikäläine     |Matti      |Fi     |ASD        |ASD        |AS         |ASDASDASD  |ASDASD         |
