;id |Sukunimi       |Etunimi	|Kans.  |Kart.Sukun.|Kart.Etun.	|Kart.kans. |Auto       |Talli          |
1   |Cashforest     |Richard    |FI     |Sutku      |Ukko       |FI         |Volvo 240  |TK-Racing      |
2   |Norte          |Emilio     |ES     |Lund       |Lars       |SE         |Peugeot 205|Emetech        |
3   |Czarnewzgorze  |Leroi      |PL     |Kask       |Jonas      |EE         |Lada 2105  |KKRT           |
4   |Esimerkki      |Erkki      |       |Kartturi   |Kari       |           |Mercedes-Benz 190|Ruoste Racing  |
5   |Benn           |Philbert   |       |Forest     |Sven       |           |Opel Kadett|BL Racing      |
6   |Freud          |Bertie     |       |Lewis      |Miles      |           |MG Metro   |Earl Grey      |
7   |Kneib          |Arn        |       |Stauss     |Jonathon   |           |Audi S1    |JSF            |
8   |Ivanov         |Vasya      |       |Pavlovsky  |Fyodor     |           |Lada 2105  |CCCP-Racing    |
9   |Seppä          |Kalevi     |       |Ranta      |Pertti     |           |Volvo 240  |Kaljakoppa     |
10  |Seppä          |Erkki      |       |Korhonen   |Vilhelmi   |           |Toyota Corolla|KKRT           |
11  |Knuttson       |Liam       |       |Rosenberg  |Mats       |           |Volvo 142  |Swedish Metal  |
12  |Björnsson      |Pelle      |       |Herberttson|Göte       |           |Volvo Amazon|OSR            |
